fossil,class
1,41229-25108,A.tigrinum
2,41229-25179,A.mavortium
3,41229-25268,A.tigrinum
4,41229-10899,A.tigrinum
5,41229-25107,A.talpoideum
6,41229-25111,A.velasci
7,41229-25163,A.mavortium
8,41229-25180,A.velasci
9,41229-25230,A.tigrinum
10,41229-25247,A.tigrinum
11,41229-25254,A.tigrinum
12,41229-25271,A.tigrinum
13,41229-25278,A.mavortium
14,41229-25280,A.velasci
15,41229-25281,A.tigrinum
16,41229-25293,A.mavortium
17,41229-25294,A.tigrinum
